"Year","imdbRating","budget_raw","worldwide_raw","domestic_raw","big_money","avg_prior_Actors_total","avg_prior_Actors_ratio","avg_prior_Writer_total","avg_prior_Writer_ratio","avg_prior_Director_total","avg_prior_Director_ratio","Comedy","Drama","Romance","Biography","History","Adventure","Horror","Mystery","Action","Crime","Fantasy","Thriller","Sci-Fi","Sport","Documentary","Music","Animation","Family","Musical","War","Western"
2009,7.8,7500000,60803210,32391374,1,78684475.25,3.09224681925926,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,8.3,2e+07,178367870,56667870,1,198192039,3.4319192664652,44297966.5,1.19879402758621,10781688,1.65872123076923,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7.7,1.8e+07,60735230,18335230,1,212654178.230769,1.74573172523509,0,1,166501969.333333,12.878636577381,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,6.8,22500000,131263370,71985628,1,53860167.8571429,1.97132524804791,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,6.1,4.2e+07,56331864,24375436,-1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2006,6.6,4.5e+07,65595141,36895141,-1,50027063.125,1.31003763051587,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2009,6.4,4e+07,139474906,64167069,1,101504180.4,7.09460054690909,164675402,8.2337701,4777465,0.530829444444444,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2003,5.7,7.6e+07,236220058,127120058,1,62654886.1666667,1.80001529134212,0,1,28734552,1.7959095,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
2013,6.8,6.1e+07,132493015,75612460,1,155960188.62069,3.06160456857202,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2009,5.8,2e+08,788408539,166112167,1,95455459.1333333,2.5626895377023,278159725,2.7252778,556319450,4.4505556,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2004,7.5,1.2e+07,19202856,1442338,-1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2008,6.8,3.5e+07,157852532,81159365,1,82788735.1538462,0.96141799054392,0,1,104906878,4.01697831296296,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2003,7.8,2e+07,59667625,16248701,1,76207358.3333333,2.5040319864899,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2002,7.7,4500000,25344490,13084595,1,49959914,1.02898401291689,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2002,7.7,8e+06,82955633,45064915,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2007,7,1.5e+07,64232714,28638916,1,67772343,1.3037307625,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2007,7.8,4.8e+07,71171825,53606916,-1,90376303.9375,1.65099207193104,0,1,134945589,4.7039018885468,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2007,6.6,3e+07,80276156,39568996,1,96599016.8125,3.73737547158168,0,1,8267066,8.7021747368421,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2006,7.8,6e+07,454161935,210614939,1,111968858,1.50399121102261,0,1,103452875,3.69474553571429,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2001,5.9,6.2e+07,18708848,15738632,-1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2002,5.6,1.7e+07,95092667,37939782,1,141910705.2,1.82008955501298,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7.6,4e+07,95020213,95020213,1,169319823.8,1.75053799972973,169359950.75,2.54819959770616,100622586,2.45420941463415,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2013,6.3,1.75e+08,150962475,38362475,-1,115285116.676768,2.73638366165711,472492257.666667,3.97795431858824,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2004,6.8,7.5e+07,196324496,120776832,1,336638635,4.04538719665698,0,1,195660942,3.49394539285714,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,7.8,8e+06,41334735,35016118,1,182184045.6875,3.59036454595104,0,1,3330012,0.555002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,7.4,350000,84689,84689,-1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2002,6.9,4.1e+07,242924075,116724075,1,26853967.2,1.14468311923404,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,5.9,3e+07,32955399,16930884,-1,62711060,1.56791501566754,236220058,3.10815865789474,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2009,7.1,3e+07,48559999,31749894,-1,140740300.533333,1.88344360823808,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2001,8.2,7.8e+07,317668058,170708996,1,19394258.6,1.02816774823529,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,7.2,1e+07,1766372,1759252,-1,0,1,0,1,320795103.25,5.79940284739386,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,5.8,1.9e+07,70067909,51438175,1,47822800.2,2.609095768,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011,6.5,2e+07,14807531,5702083,-1,240654882.866667,3.29208182526938,0,1,39495642.3333333,1.06423559875,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2013,5.4,9.2e+07,304249198,67349198,1,100917791.428571,1.97444798054911,106071844,2.54052987666396,59542233.6666667,1.45839528730159,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
2006,6.9,3.5e+07,42064105,7459300,-1,185598400.428571,1.95330794805937,75294136,2.68907628571429,242881572.666667,2.56489195842087,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,5,2500000,59922558,40041683,1,40904247,2.14120251722689,70594550.5,2.06876778888889,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,7.5,3.2e+07,61477797,31493782,-1,81639070.4615385,1.76090909162799,0,1,1641788,0.1641788,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2004,6.8,6500000,1033810,1029017,-1,0,1,97030468,3.88121872,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,6.9,4.1e+07,100622586,56083966,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
