"Year","imdbRating","budget_raw","worldwide_raw","domestic_raw","big_money","avg_prior_Actors_total","avg_prior_Actors_ratio","avg_prior_Writer_total","avg_prior_Writer_ratio","avg_prior_Director_total","avg_prior_Director_ratio","Comedy","Drama","Romance","Adventure","Family","Horror","Mystery","Action","Crime","Fantasy","Thriller","Sci-Fi","History","Documentary","Music","Animation","Biography","Musical","Sport","Western","War"
2009,7.8,7500000,60803210,32391374,1,78684475.25,3.09224681925926,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,4.8,85000000,66941559,66941559,-1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,6.8,22500000,131263370,71985628,1,53112854.75,2.02416998579193,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,6.1,42000000,56331864,24375436,-1,77387876.4,2.22225776511364,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2006,6.6,45000000,65595141,36895141,-1,70180167.5833333,1.83678776600781,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2009,6.4,40000000,139474906,64167069,1,118609753.8,7.60733277190909,164675402,8.2337701,4777465,0.530829444444444,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2003,5.7,76000000,236220058,127120058,1,58014823.125,1.93077105546311,191200000,2.12444444444444,67962330,1.90893539023541,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2009,5.8,200000000,788408539,166112167,1,87285650.4117647,2.48325069895301,278159725,2.7252778,385809725,3.20391416363636,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2004,7.5,12000000,19202856,1442338,-1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2008,6.8,35000000,157852532,81159365,1,82788735.1538462,0.96141799054392,15980376,0.9987735,104906878,4.01697831296296,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2003,7.8,20000000,59667625,16248701,1,76207358.3333333,2.5040319864899,20883834,10.441917,20883834,10.441917,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2002,7.7,4500000,25344490,13084595,1,49381975.25,1.09577654578503,0,1,20305137.5,6.49141985,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2000,5.9,43000000,62063972,37035515,-1,0,1,257805243,5.15610486,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,7.7,8000000,82955633,45064915,1,0,1,0,1,39778599,0.79557198,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2007,7,15000000,64232714,28638916,1,70320496.25,1.37224991875,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2007,7.8,48000000,71171825,53606916,-1,105116509.9,1.87156112834115,0,1,134945589,4.7039018885468,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2007,6.6,30000000,80276156,39568996,1,81213294.5333333,2.22696620737578,0,1,8267066,8.7021747368421,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2006,7.8,60000000,454161935,210614939,1,95357129.8571429,1.43446650894116,0,1,103452875,3.69474553571429,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2001,5.9,62000000,18708848,15738632,-1,21089705,1.20254609826389,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2002,5.6,17000000,95092667,37939782,1,140022960.5,2.71785843612193,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,6.8,75000000,196324496,120776832,1,309310112.769231,3.70104581586787,0,1,180984443.5,2.73690094047619,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,7.4,350000,84689,84689,-1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2002,6.9,41000000,242924075,116724075,1,30208120.6666667,0.987792471420526,0,1,33422485,0.954928142857143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007,5.9,30000000,32955399,16930884,-1,55301641,1.44721408009599,213710029,2.61630155116959,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2009,7.1,30000000,48559999,31749894,-1,145459783.470588,1.89232358626049,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,8.2,78000000,317668058,170708996,1,77429841,1.81018306543707,0,1,345141403,2.80602766666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2004,5.8,19000000,70067909,51438175,1,47822800.2,2.609095768,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,6.9,35000000,42064105,7459300,-1,207743885.6,2.42383465068712,75294136,2.68907628571429,296582130.75,3.03455199066031,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,7.5,32000000,61477797,31493782,-1,78107215.5,1.79173394232565,0,1,1641788,0.1641788,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2004,6.8,6500000,1033810,1029017,-1,0,1,97030468,3.88121872,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,6.9,41000000,100622586,56083966,1,63933923.5,1.24204126931818,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,6.6,25000000,47835784,21835784,-1,54038453.6666667,3.34064339387679,0,1,27786849,6.94671225,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,6.1,36000000,43797731,26500000,-1,79670068.1428571,2.68335068632243,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2007,6.7,15000000,18932117,9176787,-1,67274564.1428571,1.63056766999178,0,1,2148919.66666667,0.335281935762483,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2003,7.3,6000000,18552708,17583468,1,0,1,20695413,3.4492355,20695413,3.4492355,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2009,6.5,14000000,22815460,15515460,-1,87178796.721519,2.4651436131445,107212751,0.893439591666667,80197419.5,1.60285214365942,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2006,7.1,20000000,7405084,5501616,-1,79894734.9047619,2.53645009992845,151429842.333333,1.71997384820261,11293790,5.646895,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2009,7,7000000,30360570,9228788,1,0,1,119967081.166667,3.90575377278487,101134656.666667,3.0832765985414,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,7.6,7000000,28142379,9176000,1,80444901.8421053,2.21365422234568,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,7.8,55000000,59606587,6167817,-1,3539188.25,1.103918825,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,7.4,11000000,46060915,41227069,1,0,1,0,1,94728529,3.38316175,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,4.8,25000000,12219367,10719367,-1,52634714.6666667,2.09866308208333,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2002,7.1,27000000,129949664,40803000,1,0,1,47881663,2.39408315,71172251,2.37240836666667,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,7.2,30000000,105823486,65005217,1,7721445.25,0.999078879032258,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,7.5,45000000,29367143,24343673,-1,9551885.8,1.66830247076923,177665672,1.19238706040268,55710675,4.64255625,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
2009,7.3,3200000,2828590,2277396,-1,46948128.5714286,1.74497677272109,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,6.4,4000000,384244,294244,-1,15505203.5,1.21985465151515,1554328,0.0829260232258065,1554328,0.0829260232258065,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,6.8,9800000,17144025,16044025,-1,2797855.75,2.61523716666667,0,1,169863226,9.70647005714286,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,6.3,57000000,38329114,28328132,-1,124101367.375,2.25928189458391,0,1,226199038.333333,2.86191636595442,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
